raw_name,ipeds_name,canonical_event_key,notes
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161113_AnnArbor_March_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161113_AnnArbor_Petition_Otherissue,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161114_AnnArbor_Vigil_Faith-based,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161115_AnnArbor_March_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161116_AnnArbor_Walkout_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161118_AnnArbor_Rally_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20161113_AnnArbor_Walkout_Alt-right(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170116_AnnArbor_March_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170117_AnnArbor_March_Universitygovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170121_AnnArbor_March_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170127_AnnArbor_March_Indigenous,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170130_AnnArbor_March_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170209_AnnArbor_Sit-in_CampusClimate,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170201_AnnArbor_OtherForm_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170201_AnnArbor_Demonstration_Immigration(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170201_AnnArbor_Petition_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170209_AnnArbor_Sit-in_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170217_AnnArbor_Sit-in_Anti-Racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170217_AnnArbor_Petition_Universitygovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170217_AnnArbor_Universitygovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170218_AnnArbor_Rally_Environmental,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170218_AnnArbor_Rally_Abortion(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170218_AnnArbor_Disruption_Abortion(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170313_AnnArbor_Rally_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170325_AnnArbor_Rally_Trump(Against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170328_AnnArbor_Sit-in_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170406_AnnArbor_March_Sexualassault,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170410_AnnArbor_Sit-in_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170422_AnnArbor_March_Otherissue,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170308_AnnArbor_Strike_Feminism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20160930_Virtual_Petition_CampusClimate,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20160930_Virtual-UniversityofMichigan_Petition_CampusClimate,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170222_Virtual_Petition_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170129_Detroit_Rally_Trump(against),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170813_AnnArbor_Rally_WhiteSupremacyAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170901_AnnArbor_Demonstration_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170919_AnnArbor_Demonstration_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170920_AnnArbor_Rally_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170924_AnnArbor_Blockade_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170925_AnnArbor_SymbolicDisplay_CampusClimate,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170926_AnnArbor_March_RacializedSymbols,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170926_AnnArbor_SitIn_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171007_AnnArbor_SymbolicDisplay_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171009_AnnArbor_March_IndigenousIssues,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171108_AnnArbor_Rally_ProIsrael,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171108_AnnArbor_Rally_Pro-Palestine,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171127_AnnArbor_Rally_AltRightAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171128_AnnArbor_Rally_FarRightAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171128_AnnArbor_OtherForm_FarRightAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171129_AnnArbor_Walkout_FarRightAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171129_AnnArbor_SitIn_AltRightAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171130_AnnArbor_Strike_WhiteSupremacyAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171101_AnnArbor_TrumpAgainst_Walkout,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171201_AnnArbor_Rally_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171201_AnnArbor_March_ImmigrationFor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171207_AnnArbor_Petition_WhiteSupremacyAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171207_AnnArbor_Petition_WhiteSupremacyAgainst_Alumni,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180119_AnnArbor_Disruption_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180205_AnnArbor_OtherForm_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180312_EastLansing_Demonstration_WhiteSupremacyAgainst,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180312_EastLansing_Rally_WhiteSupremacyFor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180316_AnnArbor_March_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180329_AnnArbor_Sit-In_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180420_AnnArbor_Occupation_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20180420_AnnArbor_OtherForm_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20170901_Virtual-UniversityofMichigan_Petition_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20171101_Virtual_Petition_HateSpeech,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20130918_AnnArbor_Demonstration_ProLife,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20130918_AnnArbor_Demonstration_ProChoice,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20130101_AnnArbor_March_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20131009_AnnArbor_Demonstration_AffirmativeAction(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20131119_AnnArbor_Demonstration_AffirmativeAction(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20131209_AnnArbor_March_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140120_AnnArbor_OtherForm_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140120_AnnArbor_March_AffirmativeAction(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140225_AnnArbor_March_SexualAssault,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140318_AnnArbor_Rally_Pro-Palestine,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140319_AnnArbor_Occupation_Pro-Palestine,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140415_AnnArbor_Rally_AffirmativeAction(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140424_AnnArbor_March_AffirmativeAction(For),
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20140929_AnnArbor_Rally_UniversityGovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20141114_AnnArbor_Petition_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20141125_AnnArbor_Vigil_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20141217_AnnArbor_SymbolicDisplay_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,20150326_ AnnArbor_Rally_Environmental,
Georgia State University in Atlanta,Georgia State University,20160202_Atlanta_SitIn_Immigration,
University of Wisconsin Green Bay,University of Wisconsin-Green Bay,20160406_GreenBay_Rally_Anti-Trump,
Depauw University,DePauw University,20151111_Greencastle_Rally_Anti-racism,
Depauw University,DePauw University,20150903_Greencastle_Rally_Hatespeech,
Depauw University,DePauw University,20150903_Greencastle_Rally_OtherIssue,
Depauw University,DePauw University,20150923_Greencastle_Rally_Otherissue,
Depauw University,DePauw University,20150923_Greencastle_Disruption_LGB+(For),
Depauw University,DePauw University,20150923_Greencastle_Disruption_Policeviolence,
Depauw University,DePauw University,20150930_Greencastle_Disruption_OtherIssue,
Depauw University,DePauw University,20160928_Greencastle_Disruption_CampusClimate,
Depauw University,DePauw University,20160928_Greencastle_OtherForm_LGB,
Depauw University,DePauw University,20161113_Greencastle_Petition_ImmigrationFor,
Depauw University,DePauw University,20161118_Greencastle_March_ImmigrationFor,
Depauw University,DePauw University,20180418_Greencastle_Disruption_CampusClimate,
Depauw University,DePauw University,20180427_Greencastle_Demonstration_LGB+,
Depauw University,DePauw University,20180508_Greencastle_OtherForm_CampusClimate,
Depauw University,DePauw University,20130925_Greencastle_March_SexualAssault,
"University of California, Berkeley",University of California-Berkeley,NA,
Harvard Law,Harvard University,20160215_Cambridge_Occupation_UniversityGovernance,
Harvard Law School,Harvard University,20151118_Cambridge_March_AntiRacism,
Harvard Law School,Harvard University,20160225_Cambridge_Disruption_UniversityGovernance,
University of Texas Austin,The University of Texas at Austin,20151001_Austin_Rally_GunControl(Against),
University of Texas Austin,The University of Texas at Austin,20160130_Austin_March_PoliceViolence,
University of Texas Austin,The University of Texas at Austin,20160420_Austin_March_CampusClimate,
University of Texas Austin,The University of Texas at Austin,20160201_Austin_PropertyDamage_PoliceViolence,
University of Texas Austin,The University of Texas at Austin,20150923_Austin_Rally_Faith-BasedDiscrimination,
University of Texas Austin,The University of Texas at Austin,20151112_Austin_March_CampusClimate,
University of Texas Austin,The University of Texas at Austin,20160219_Austin_Rally_Faith-BasedDiscrimination,
University of Texas Austin,The University of Texas at Austin,20151001_Austin_Rally_GunControl(for),
University of Texas Austin,The University of Texas at Austin,20160824_Austin_Rally_GunControl,
University of Texas Austin,The University of Texas at Austin,20160924_Austin_Rally_Environmental,
University of Texas Austin,The University of Texas at Austin,20160928_Austin_Rally_Economy,
University of Texas Austin,The University of Texas at Austin,20161026_Austin_Otherform_Affirmative(Against),
University of Texas Austin,The University of Texas at Austin,20161026_Austin_Rally_Affirmative(For),
University of Texas Austin,The University of Texas at Austin,20161006_Austin_Symbolicdisplay_Universitygovernance,
University of Texas Austin,The University of Texas at Austin,20161027_Austin_Petition_Affirmative(For),
University of Texas Austin,The University of Texas at Austin,20161117_Austin_March_Universitygovernance,
University of Texas Austin,The University of Texas at Austin,20170120_Austin_Walkout_Trump(Against),
University of Texas Austin,The University of Texas at Austin,20170207_Austin_ Rally_Trump(Against),
University of Texas Austin,The University of Texas at Austin,20150930_Austin_Rally_Labour,
University of Texas Austin,The University of Texas at Austin,20151212_Austin_March_GunControl,
University of Texas Austin,The University of Texas at Austin,20170228_Austin_March_Immigration(For),
University of Texas Austin,The University of Texas at Austin,20170422_Austin_March_Trump(Against),
University of Texas Austin,The University of Texas at Austin,20170429_Austin_March_Environmental,
University of Texas Austin,The University of Texas at Austin,20170501_Austin_Rally_Immigration(For),
University of Texas Austin,The University of Texas at Austin,20170712_Austin_Disruption_AnimalRights,
University of Texas Austin,The University of Texas at Austin,20171104_Austin_Rally_WhiteSupremacyFor,
University of Texas Austin,The University of Texas at Austin,20171206_Austin_UnknownForm_Tuition,
University of Texas Austin,The University of Texas at Austin,20180201_Austin_Rally_Labor,
University of Texas Austin,The University of Texas at Austin,20180219_Austin_Vigil_GunControl,
University of Texas Austin,The University of Texas at Austin,20180302_Austin_March_OtherIssue,
University of Texas Austin,The University of Texas at Austin,20130612_Austin_Rally_LGB+(For),
University of Texas Austin,The University of Texas at Austin,20131120_Medford_Rally_Immigration(For),
University of Texas Austin,The University of Texas at Austin,20130828_Austin_Rally_CampusClimate,
University of Texas Austin,The University of Texas at Austin,20130829_Austin_Picketing_Labour,
University of Texas Austin,The University of Texas at Austin,20130901_Austin_Rally_Feminism,
University of Texas Austin,The University of Texas at Austin,20140131_Austin_March_UniversityGovernance,
University of Texas Austin,The University of Texas at Austin,20140423_Austin_Occupation_UniversityGovernance,
University of Texas Austin,The University of Texas at Austin,20140423_Austin_Rally_UniversityGovernance,
University of Texas Austin,The University of Texas at Austin,20140409_Austin_Occupation_Immigration(For),
University of Texas Austin,The University of Texas at Austin,20140411_Austin_March_Immigration(For),
Indiana University,Indiana University-Bloomington,20150918_Bloomington_March_PoliceViolence,
Indiana University,Indiana University-Bloomington,20160218_Bloomington_SymbolicDisplay_Anti-Racism,
Indiana University,Indiana University-Bloomington,20151212_Bloomington_March_CampusClimate,
Indiana University,Indiana University-Bloomington,20150910_Bloomington_March_SexualAssault,
Indiana University,Indiana University-Bloomington,20151024_Bloomington_Rally_Faith-BasedDiscrimination,
Indiana University,Indiana University-Bloomington,20160427_Bloomington_Rally_OtherIssue,
Indiana University,Indiana University-Bloomington,20150917_Bloomington_March_Environmental,
Indiana University,Indiana University-Bloomington,20151001_TerreHaute_March_SexualAssault,
Indiana University,Indiana University-Bloomington,20170129_Indianapolis_Rally_Trump(Against),
Indiana University,Indiana University-Bloomington,20170113_Bloomington_March_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20170123_Bloomington_March_Environmental,
Indiana University,Indiana University-Bloomington,20170129_Bloomington_Rally_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20171129_Bloomington_Walkout_OtherIssue,
Indiana University,Indiana University-Bloomington,20180302_Bloomington_Walkout_Issue,
Indiana University,Indiana University-Bloomington,20160923_Bloomington_Rally_AbortionAccess,
Indiana University,Indiana University-Bloomington,20161001_Bloomington_Rally_AntiRacism,
Indiana University,Indiana University-Bloomington,20161010_Bloomington_March_PoliceViolence,
Indiana University,Indiana University-Bloomington,20170411_Bloomington_Disruption_WhiteSupremacyAgainst,
Indiana University,Indiana University-Bloomington,20170405_Bloomington_March_ImmigrationFor,
Indiana University,Indiana University-Bloomington,20170307_Bloomington_March_ImmigrationFor,
Indiana University,Indiana University-Bloomington,20170205_Bloomington_Rally_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20170204_Bloomington_March_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20170131_Bloomington_Petition_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20161115_Bloomington_Demonstration_Environmental,
Indiana University,Indiana University-Bloomington,20161113_Bloomington_OtherForm_IndigenousIssues,
Indiana University,Indiana University-Bloomington,20161108_Bloomington_Rally_IndigenousIssues,
Indiana University,Indiana University-Bloomington,20161009_Bloomington_Rally_TrumpAgainst,
Indiana University,Indiana University-Bloomington,20161009_Bloomington_Petition_OtherIssue,
Indiana University,Indiana University-Bloomington,20161005_Bloomington_EconomyInequality,
Indiana University,Indiana University-Bloomington,20160901_Bloomington_March_UniversityGovernance,
Indiana University,Indiana University-Bloomington,20130311_Bloomington_Rally_Anti-Racism,
Indiana University,Indiana University-Bloomington,20130918_Bloomington_Rally_Labour,
Indiana University,Indiana University-Bloomington,20140421_Bloomington_March_SexualAssault,
Indiana University,Indiana University-Bloomington,20140421_Bloomington_OtherIssue,
Indiana University,Indiana University-Bloomington,20150330_Bloomington_SymbolicDisplay_GunOwnerRights,
University at Albany,SUNY at Albany,20160304_Albany_Walkout_Tuition,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20151117_Las Vegas_Anti-racism,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20160613_LasVegas_Vigil_LGB+(For),
University of Nevada Las Vegas,University of Nevada-Las Vegas,20170306_LasVegas_March_FaithBasedDiscrimination,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20170425_LasVegas_Rally_LGB+(Against),
University of Nevada Las Vegas,University of Nevada-Las Vegas,20170425_LasVegas_March_LGB+(For),
University of Nevada Las Vegas,University of Nevada-Las Vegas,20171130_LasVegas_PressConference_PoliceViolence,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20180420_LasVegas_March_GunControl,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20180314_LasVegas_March_GunControl,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20180314_LasVegas_GunOwnerRights,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20130613_LasVegas_Rally_AnimalRights,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20141201_LasVegas_SymbolicDisplay_PoliceViolence,
University of Nevada Las Vegas,University of Nevada-Las Vegas,20141205_LasVegas_SymbolicDisplay_PoliceViolence,
University of Colorado,University of Colorado Boulder,20151028_Boulder_Rally_Anti-Racism,
University of Colorado,University of Colorado Boulder,20151028_Boulder_Rally_Immigration(for),
University of Colorado,University of Colorado Boulder,20151028_Boulder_Rally_Anti-Racism,
University of Colorado,University of Colorado Boulder,20151028_Boulder_Rally_Immigration(for),
University of Colorado,University of Colorado Boulder,20170125_Boulder_Rally_Alt-Right(Against),
Southern Illinois University,Southern Illinois University Carbondale,20151112_Carbondale_Rally_CampusClimate,
Southern Illinois University,Southern Illinois University Carbondale,20160502_Carbondale_March_Anti-Racism,
Southern Illinois University,Southern Illinois University Carbondale,20160504_Carbondale_OtherForn_CampusClimate,
Southern Illinois University,Southern Illinois University Carbondale,20160501_WashingtonDC_AntiRacism_Rally,
Southern Illinois University,Southern Illinois University Carbondale,20160217_Springfield_Rally_Publicfunding,
Southern Illinois University,Southern Illinois University Carbondale,20160305_Carbondale_Rally_PublicFunding,
Southern Illinois University,Southern Illinois University Carbondale,20160418_Carbondale_Sit-in_UniversityGovernance,
Southern Illinois University,Southern Illinois University Carbondale,20160504_Carbondale_OtherForm_UniversityGovernance,
Southern Illinois University,Southern Illinois University Carbondale,20160502_Carbondale_Rally_Anti-Racism,
Southern Illinois University,Southern Illinois University Carbondale,20160401_Carbondale_Rally_PublicFunding,
Southern Illinois University,Southern Illinois University Carbondale,20151112_Carbondale_Rally_CampusClimate,
Southern Illinois University,Southern Illinois University Carbondale,20170120_Carbondale_Rally_TrumpAgainst,
Southern Illinois University,Southern Illinois University Carbondale,20170120_Carbondale_Rally_TrumpFor,
Southern Illinois University,Southern Illinois University Carbondale,20140818_Carbondale_Rally_PoliceViolence,
Southern Illinois University,Southern Illinois University Carbondale,20141125_Carbondale_SymbolicDisplay_PoliceViolence,
Southern Illinois University,Southern Illinois University Carbondale,20141201_Carbondale_Rally_PoliceViolence,
Southern Illinois University,Southern Illinois University Carbondale,20141209_Carbondale_SymbolicDisplay_PoliceViolence,
Southern Illinois University,Southern Illinois University Carbondale,20150506_Carbondale_Rally_PublicFunding,
Shippensburg University,Shippensburg University of Pennsylvania,20160128_Shippensburg_March_AntiRacism,
Shippensburg University,Shippensburg University of Pennsylvania,20160208_Harrisburg_Rally_Publicfunding,
Shippensburg University,Shippensburg University of Pennsylvania,20160412_Shippensburg_March_SexualAssault,
Shippensburg University,Shippensburg University of Pennsylvania,20161019_Shippensburg_Strike_Labour,
Shippensburg University,Shippensburg University of Pennsylvania,20161113_Shippensburg_Rally_Trump(Against),
Shippensburg University,Shippensburg University of Pennsylvania,20161116_Shippensburg_March_Trump(Against),
Shippensburg University,Shippensburg University of Pennsylvania,20170202_Shippensburg_March_Memorials,
Shippensburg University,Shippensburg University of Pennsylvania,20170301_Shippensburg_March_Feminism,
Shippensburg University,Shippensburg University of Pennsylvania,20170419_Shippensburg_March_Immigration(For),
Shippensburg University,Shippensburg University of Pennsylvania,20171025_Shippensburg_Rally_LGB+(Against),
Shippensburg University,Shippensburg University of Pennsylvania,20171025_Shippensburg_Rally_LGB+(For),
Shippensburg University,Shippensburg University of Pennsylvania,20140401_Shippensburg_Rally_SexualAssault,
University of Minnesota,University of Minnesota-Twin Cities,20170121_StPaul_March_Feminism,
University of Minnesota,University of Minnesota-Twin Cities,20170112_Minneapolis_Rally_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20170120_Minneapolis_March_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20151124_Minneapolis_Rally_PoliceViolence,
University of Minnesota,University of Minnesota-Twin Cities,20151211_Minneapolis_Rally_UniversityGovernance,
University of Minnesota,University of Minnesota-Twin Cities,20151018_Minneapolis_Rally_Anti-Racism,
University of Minnesota,University of Minnesota-Twin Cities,20151103_Minneapolis_Disruption_Anti-war,
University of Minnesota,University of Minnesota-Twin Cities,20151210_Minneapolis_Disruption_Environmental,
University of Minnesota,University of Minnesota-Twin Cities,20160610_Minneapolis_Disruption_Tuition,
University of Minnesota,University of Minnesota-Twin Cities,20151019_Minneapolis_Petition_UniversityGovernance,
University of Minnesota,University of Minnesota-Twin Cities,20170215_Virtual_Boycott_ImmigrationFor,
University of Minnesota,University of Minnesota-Twin Cities,20161111_Minneapolis_Blockade_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20161201_Minneapolis_Petition_ImmigrationFor,
University of Minnesota,University of Minnesota-Twin Cities,20161201_Minneapolis_Petition_UniversityGovernance,
University of Minnesota,University of Minnesota-Twin Cities,20170105_Minneapolis_Rally_SexualAssault,
University of Minnesota,University of Minnesota-Twin Cities,20170110_Minneapolis_LabourAndWork_InformationDistribution,
University of Minnesota,University of Minnesota-Twin Cities,20170112_Minneapolis_Rally_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20170113_Minneapolis_Blockade_Tuition,
University of Minnesota,University of Minnesota-Twin Cities,20170116_Minneapolis_OtherForm_UniversityGovernance,
University of Minnesota,University of Minnesota-Twin Cities,20170120_Minneapolis_March_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20170215_Minneapolis_Petition_TrumpAgainst,
University of Minnesota,University of Minnesota-Twin Cities,20170418_Minneapolis_March_SexualAssault,
University of Minnesota,University of Minnesota-Twin Cities,20170418_Minneapolis_Rally_SexualAssault,
